account,balance_t,total,total_1,total_13,total_35,total_5,is_in,type
67002698,"[33, 0, 33, 0, 0]",33,0,33,0,0,True,1
65009168,"[147, 0, 101, 41, 5]",147,0,101,41,5,True,1
67027298,"[31, 0, 19, 12, 0]",31,0,19,12,0,True,1
69860608,"[147, 66, 46, 35, 0]",147,66,46,35,0,True,0
67015978,"[46, 46, 0, 0, 0]",46,46,0,0,0,True,0
61852318,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
62076128,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
66075698,"[109, 93, 16, 0, 0]",109,93,16,0,0,True,0
62077178,"[147, 53, 3, 0, 91]",147,53,3,0,91,True,3
63067628,"[147, 0, 0, 8, 139]",147,0,0,8,139,True,3
65026868,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
69874398,"[147, 10, 137, 0, 0]",147,10,137,0,0,True,1
63097858,"[147, 129, 18, 0, 0]",147,129,18,0,0,True,0
63068798,"[22, 19, 3, 0, 0]",22,19,3,0,0,True,0
63001178,"[147, 19, 50, 78, 0]",147,19,50,78,0,True,2
63080938,"[147, 0, 140, 0, 7]",147,0,140,0,7,True,1
60807968,"[147, 124, 23, 0, 0]",147,124,23,0,0,True,0
65021708,"[147, 131, 16, 0, 0]",147,131,16,0,0,True,0
61824368,"[147, 19, 128, 0, 0]",147,19,128,0,0,True,1
67028608,"[32, 21, 0, 2, 9]",32,21,0,2,9,True,0
66018708,"[140, 65, 61, 14, 0]",140,65,61,14,0,True,0
63075858,"[147, 147, 0, 0, 0]",147,147,0,0,0,True,0
66072628,"[120, 95, 25, 0, 0]",120,95,25,0,0,True,0
62099518,"[147, 27, 119, 1, 0]",147,27,119,1,0,True,1
62099628,"[147, 37, 110, 0, 0]",147,37,110,0,0,True,1
62097818,"[147, 47, 70, 0, 30]",147,47,70,0,30,True,1
62098918,"[147, 47, 100, 0, 0]",147,47,100,0,0,True,1
63071768,"[147, 82, 50, 15, 0]",147,82,50,15,0,True,0
62097178,"[147, 54, 93, 0, 0]",147,54,93,0,0,True,1
69891988,"[147, 114, 33, 0, 0]",147,114,33,0,0,True,0
66051958,"[128, 41, 48, 0, 39]",128,41,48,0,39,True,1
67019698,"[28, 0, 28, 0, 0]",28,0,28,0,0,True,1
63069628,"[147, 0, 0, 0, 147]",147,0,0,0,147,True,3
61885118,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
63009628,"[147, 0, 0, 1, 146]",147,0,0,1,146,True,3
63089858,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
54458866,"[147, 27, 78, 40, 2]",147,27,78,40,2,True,1
60002738,"[147, 1, 146, 0, 0]",147,1,146,0,0,True,1
67057798,"[24, 20, 4, 0, 0]",24,20,4,0,0,True,0
66026818,"[128, 0, 47, 46, 35]",128,0,47,46,35,True,1
67817988,"[147, 0, 0, 0, 147]",147,0,0,0,147,True,3
66020658,"[137, 94, 43, 0, 0]",137,94,43,0,0,True,0
66081528,"[84, 2, 0, 0, 82]",84,2,0,0,82,True,3
67007198,"[47, 0, 3, 10, 34]",47,0,3,10,34,True,3
69801028,"[147, 16, 58, 22, 51]",147,16,58,22,51,True,1
62022828,"[147, 16, 86, 43, 2]",147,16,86,43,2,True,1
63081578,"[147, 38, 109, 0, 0]",147,38,109,0,0,True,1
61801658,"[147, 0, 1, 0, 146]",147,0,1,0,146,True,3
69836128,"[147, 117, 30, 0, 0]",147,117,30,0,0,True,0
67007268,"[30, 8, 22, 0, 0]",30,8,22,0,0,True,1
61827128,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
61826988,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
61881898,"[147, 2, 145, 0, 0]",147,2,145,0,0,True,1
61845178,"[147, 88, 59, 0, 0]",147,88,59,0,0,True,0
61827108,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
61869108,"[133, 1, 132, 0, 0]",133,1,132,0,0,True,1
63000118,"[147, 0, 0, 1, 146]",147,0,0,1,146,True,3
61820928,"[147, 1, 0, 0, 146]",147,1,0,0,146,True,3
61830488,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
66076708,"[118, 27, 71, 20, 0]",118,27,71,20,0,True,1
61822768,"[147, 0, 147, 0, 0]",147,0,147,0,0,True,1
67009698,"[46, 46, 0, 0, 0]",46,46,0,0,0,True,0
63080638,"[147, 25, 122, 0, 0]",147,25,122,0,0,True,1
61872828,"[147, 0, 0, 0, 147]",147,0,0,0,147,True,3
62051618,"[147, 0, 1, 0, 146]",147,0,1,0,146,True,3
61857878,"[135, 135, 0, 0, 0]",135,135,0,0,0,True,0
63076178,"[147, 145, 2, 0, 0]",147,145,2,0,0,True,0
69820808,"[147, 18, 129, 0, 0]",147,18,129,0,0,True,1
