account_id,process_date,amount,amount_after,amount_befor
65011028,2019-12-23,7000.0,6384.13,13384.130000000001
62071698,2019-12-23,6000.0,14486.26,20486.260000000002
61856828,2019-12-23,10000.0,16335.2,26335.2
62089668,2019-12-23,9010.0,12013.16,21023.16
67001698,2019-12-23,20000.0,32210.36,52210.36
67067228,2019-12-23,3065.36,8710.27,11775.630000000001
61820118,2019-12-23,1001.0,20036.13,21037.13
66082198,2019-12-23,8000.0,24082.12,32082.12
67050518,2019-12-23,25000.0,19992.59,44992.59
67018508,2019-12-23,6000.0,9541.28,15541.28
69848688,2019-12-23,2373.38,0.0,2373.38
69818608,2019-12-23,2000.0,9981.16,11981.16
61821728,2019-12-23,10000.0,18784.93,28784.93
61822358,2019-12-23,9529.46,2626.77,12156.23
61827558,2019-12-23,10000.0,20244.63,30244.63
61822308,2019-12-23,6434.78,1833.37,8268.15
67065288,2019-12-23,15890.0,1855.25,17745.25
66077238,2019-12-23,2500.0,2054.13,4554.13
61827758,2019-12-23,10000.0,19417.65,29417.65
62890808,2019-12-23,3000.0,3919.29,6919.29
67010758,2019-12-23,5000.0,12032.23,17032.23
62080898,2019-12-23,7932.58,3636.4,11568.98
67060228,2019-12-23,1755.54,29727.4,31482.940000000002
69832828,2019-12-23,8030.0,11692.99,19722.989999999998
63071138,2019-12-23,10000.0,19968.7,29968.7
67005578,2019-12-23,13000.0,9911.5,22911.5
60816828,2019-12-23,14500.0,28700.56,43200.56
63077188,2019-12-23,5000.0,9368.46,14368.46
60829408,2019-12-23,4000.0,12788.84,16788.84
66066778,2019-12-23,3000.0,20134.31,23134.31
66026608,2019-12-23,24000.0,20658.74,44658.740000000005
60002868,2019-12-23,8100.0,7349.24,15449.24
66070668,2019-12-23,10223.27,2627.82,12851.09
65052508,2019-12-23,11318.99,8686.67,20005.66
61815008,2019-12-23,103545.56,0.0,103545.56
67027878,2019-12-23,3000.0,9379.55,12379.55
60828858,2019-12-23,8000.0,10106.97,18106.97
63091568,2019-12-23,4300.0,10079.5,14379.5
61831428,2019-12-23,5246.0,7840.97,13086.970000000001
61806418,2019-12-23,5000.0,29560.41,34560.41
60012728,2019-12-23,9600.0,1957.12,11557.119999999999
67067008,2019-12-23,3642.0,0.0,3642.0
61843918,2019-12-23,2407.0,7832.23,10239.23
67065178,2019-12-23,3900.0,4198.67,8098.67
63060958,2019-12-23,20000.0,17131.4,37131.4
60807578,2019-12-23,3944.61,20000.0,23944.61
60827978,2019-12-23,2000.0,4289.73,6289.73
66097928,2019-12-23,8900.0,11158.44,20058.440000000002
67050018,2019-12-23,3000.0,14306.61,17306.61
66078818,2019-12-23,6000.0,5844.65,11844.65
67066608,2019-12-23,3000.0,8809.13,11809.13
69830918,2019-12-23,122207.92,1827.11,124035.03
67060838,2019-12-23,20000.0,56745.61,76745.61
66072878,2019-12-23,5289.0,11070.47,16359.47
61806508,2019-12-23,4000.0,11362.73,15362.73
66091298,2019-12-23,7000.0,5285.43,12285.43
66076798,2019-12-23,10900.0,10460.96,21360.96
67057288,2019-12-23,6893.0,3658.5,10551.5
69815268,2019-12-23,5600.0,20081.72,25681.72
67079278,2019-12-23,10000.0,46151.35,56151.35
67855728,2019-12-23,7400.0,20093.3,27493.3
67028588,2019-12-23,10000.0,20183.28,30183.28
69890928,2019-12-23,5200.0,20623.85,25823.85
66025228,2019-12-23,1705.0,12474.51,14179.51
63060898,2019-12-23,21512.09,10000.0,31512.09
67006518,2019-12-23,1000.0,10152.93,11152.93
69816458,2019-12-23,7600.0,20082.2,27682.2
61872958,2019-12-23,2771.17,13090.2,15861.37
61824968,2019-12-23,6000.0,18774.5,24774.5
60829528,2019-12-23,5800.0,20033.42,25833.42
60829308,2019-12-23,6000.0,20002.53,26002.53
67055758,2019-12-23,10000.0,16418.62,26418.62
61812578,2019-12-23,3000.0,5028.36,8028.36
61849388,2019-12-23,6500.0,3940.28,10440.28
66066218,2019-12-23,10000.0,21075.48,31075.48
61825218,2019-12-23,5000.0,11583.33,16583.33
61841558,2019-12-23,2309.81,0.0,2309.81
61804898,2019-12-23,4100.0,7474.17,11574.17
66079528,2019-12-23,5000.0,7418.04,12418.04
66060788,2019-12-23,4380.0,10000.29,14380.29
