funds_account,stat_time_day,total_deposit_amount,total_withdraw_amount,assets_start,assets_end,in,out,rate,pro_in,pro_ot
60016808,2019-02-19,20040.0,1000.0,0.0,19094.27,20040.0,20094.27,1.0027080838323355,0.0,0.0
60016858,2019-02-27,19940.0,1000.0,0.0,32622.11,19940.0,33622.11,1.686163991975928,0.0,0.0
60017528,2018-12-17,2945.0,29200.0,22830.65,9201.87,25775.65,38401.87,1.489850692417068,0.0,0.0
60018018,2018-12-13,1750.0,62199.0,103442.82,22252.9,105192.82,84451.9,0.8028295087060123,0.0,0.0
60018028,2018-12-13,24742.0,30156.0,27747.35,27731.32,52489.35,57887.32,1.1028393378847328,0.0,0.0
60018138,2018-12-14,0.0,10000.0,19686.67,18880.69,19686.67,28880.69,1.4670175301358737,0.0,0.0
60018638,2018-12-27,0.0,8505.0,13679.1,2200.0,13679.1,10705.0,0.7825807253401174,0.0,0.0
60018678,2018-12-18,11485.0,21604.0,31650.03,23580.0,43135.03,45184.0,1.0475012999875044,0.0,0.0
60018798,2018-12-17,0.0,144215.0,237252.31,0.0,237252.31,144215.0,0.6078549877975898,0.0,0.0
60018908,2018-12-12,0.0,15000.0,22184.46,16007.1,22184.46,31007.1,1.3976946024379227,0.0,0.0
60026008,2018-12-17,25000.0,29831.0,18239.61,20120.49,43239.61,49951.490000000005,1.1552252668328877,0.0,0.0
60080788,2019-01-07,144000.0,9640.0,23306.35,30000.0,167306.35,39640.0,0.23693063652395738,0.0,0.0
60085268,2019-01-02,114093.0,119667.0,20944.53,21465.67,135037.53,141132.66999999998,1.0451366372000435,0.0,0.0
60087508,2019-10-13,12000.0,10403.0,0.0,0.0,12000.0,10403.0,0.8669166666666667,0.0,0.0
60089218,2019-02-19,21835.0,17000.0,0.0,9976.87,21835.0,26976.870000000003,1.2354875200366386,0.0,0.0
60089968,2019-01-02,18441.0,27937.0,20072.01,13449.56,38513.009999999995,41386.56,1.074612449143809,0.0,0.0
60800018,2019-06-17,8762.0,5098.0,0.0,3724.92,8762.0,8822.92,1.0069527505135814,0.0,0.0
60800058,2018-07-24,20000.0,12736.0,0.0,0.0,20000.0,12736.0,0.6368,0.0,0.0
60800098,2018-07-27,159075.0,22161.0,385.0,186401.37,159460.0,208562.37,1.307929073121786,0.0,0.0
60800108,2018-08-02,0.0,13000.0,28612.2,30096.34,28612.2,43096.34,1.5062225204632986,0.0,0.0
60800628,2018-08-02,0.0,8552.0,8551.61,0.0,8551.61,8552.0,1.0000456054473952,0.0,0.0
60800918,2019-01-18,50450.0,53142.0,20000.1,31617.5,70450.1,84759.5,1.203113977127073,0.0,0.0
60800958,2019-05-09,37660.0,41179.0,0.0,0.0,37660.0,41179.0,1.093441317047265,0.0,0.0
60801108,2018-08-03,39598.0,25001.0,19825.09,53768.99,59423.09,78769.98999999999,1.3255788280279601,0.0,0.0
60801298,2018-07-23,0.0,4466.0,9130.43,1039.42,9130.43,5505.42,0.60297488727256,0.0,0.0
60801478,2018-08-27,110.0,1100.0,38614.2,56805.13,38724.2,57905.13,1.4953215302059177,0.0,0.0
60801488,2018-07-27,11.0,31.0,20950.98,21673.61,20961.98,21704.61,1.035427473931375,0.0,0.0
