,account,is_real_out
164,66062168,False
165,66077028,False
166,63092008,False
167,66052018,True
168,65027578,True
169,66085198,False
170,69852128,False
171,63061208,True
172,66072638,False
173,61856698,True
174,66028238,False
175,61882088,True
176,61846688,True
177,65025868,False
178,69848828,True
179,67026298,False
180,67029208,True
181,65016128,False
182,62087638,False
183,60087508,True
184,69823598,True
185,60817818,True
186,65026208,False
187,62092868,True
188,62070078,False
189,62055098,False
190,62075258,False
191,62069668,False
192,18669555,False
193,67021618,False
194,65052728,False
195,67008538,False
196,62082968,True
197,63068958,False
198,66099018,True
199,68839918,False
200,66078818,False
201,67020728,False
202,63016188,True
203,63091198,False
204,61887408,True
205,65060738,True
206,66069288,True
207,66072588,True
208,65018118,True
209,67012238,True
210,60018798,True
211,19880818,False
212,61833278,True
213,69868458,True
214,67015188,True
215,69827318,True
216,61888988,False
217,61830758,True
218,69809968,False
219,69810898,False
220,69802498,False
221,62079598,False
222,60818758,True
223,62085868,True
224,61851128,True
225,67022728,True
226,66077658,False
227,65018238,True
228,61843968,False
229,66019638,True
230,61831568,False
231,67016128,True
232,67026628,True
233,62080128,False
234,69867798,True
235,69831178,True
236,62087768,False
237,61892068,True
238,61868768,False
239,62070158,True
240,65055018,True
241,62089138,True
242,63007888,True
243,69896968,True
244,67020968,True
245,61841598,False
246,66080788,False
247,62061718,False
248,67009188,False
249,67002638,False
250,62069618,False
251,61899398,False
252,65017558,False
253,66080978,False
254,60800958,False
255,60816098,False
256,66089678,True
257,67809698,True
258,65010828,True
259,66029118,False
260,63025528,False
261,66091098,True
262,60018568,True
263,61858018,False
264,88636695,False
265,66075638,True
266,65006928,False
267,61839788,True
268,66021228,False
269,62061698,False
270,62069638,False
271,60822818,True
272,61836468,True
273,63019518,False
274,69814888,True
275,61875058,True
276,60002868,False
277,67010968,True
278,69859918,False
279,69833308,True
280,66089608,False
281,66022288,True
282,66075038,False
283,63052838,False
284,67000708,True
285,65018608,True
286,66099928,False
287,61867758,False
288,61848978,False
289,69872998,True
290,66029298,True
291,60000838,False
292,61857018,True
293,69853688,False
294,65056708,True
295,62880868,False
296,61805408,True
297,63057018,True
298,60827768,False
299,62086678,True
300,61823328,True
301,61826578,False
302,69873168,False
303,62096628,True
304,61847768,True
305,66095768,False
306,60823168,True
307,67000608,True
308,61860068,True
309,66066558,False
310,69847898,False
311,61822308,False
312,66071868,False
313,62082778,True
314,60801508,False
315,65056728,False
316,67012538,True
317,61852408,True
318,61858758,True
319,63066598,False
320,66096058,True
321,63018958,True
322,69877818,True
323,69852068,True
324,65019868,False
325,60005018,True
326,65017058,False
327,66017208,True
328,66080958,False
329,60815228,True
330,65020258,True
331,63077178,True
332,65002878,True
333,61849518,True
334,63095638,True
335,66077078,False
336,69885328,True
337,69873628,False
338,62075598,False
339,62055798,False
340,69887158,False
341,61847878,True
342,61852658,False
343,66058078,True
344,66021598,False
345,61806908,True
346,61895368,True
347,61847168,False
348,66026688,True
349,61802508,True
350,62081668,True
351,61808098,False
352,61840808,True
353,61858008,False
