account_id,cash_in_first_day,asset_first_in,cash_out_first_day,cash_out_first_day_amount
60805988,2019-11-27,25921.56000000000000000000,2019-11-13,20623.59
60806478,2019-02-18,136846.80211500000000000000,2019-11-20,255889.4
60806488,2019-09-23,4770.00000000000000000000,2019-04-03,22026.84000000000000000000
60806618,2019-09-19,10000.00000000000000000000,2019-08-13,11330.92
60806758,2019-06-03,11847.00000000000000000000,2019-05-30,5776.00000000000000000000
60807428,2019-06-19,17348.80000000000000000000,2019-06-20,17348.8
60807518,2019-12-16,11110.81876500000000000000,2019-12-17,11102.8
60807578,2019-06-03,15819.47000000000000000000,2019-02-27,13930.10000000000000000000
60807718,2019-03-04,20440.00000000000000000000,2019-09-19,25429.93
60807968,2019-05-08,6237.88675500000000000000,2019-05-10,5199.54182000000000000000
60808118,2019-04-12,11268.38000000000000000000,2019-06-13,15360.98
60809258,2019-12-19,0E-20,2019-12-19,6515.37
60809918,2019-07-25,15000.00000000000000000000,2019-11-19,20626.35
60810078,2019-07-31,21439.98000000000000000000,2019-04-23,7618.50000000000000000000
60811318,2019-06-21,33520.62000000000000000000,2019-07-08,37856.23
60811618,2019-03-01,6182.63000000000000000000,2019-02-01,8677.06000000000000000000
60812388,2019-03-19,9087.24000000000000000000,2019-03-05,3030.22000000000000000000
60812668,2019-06-17,17704.45000000000000000000,2019-05-28,12944.45000000000000000000
60812978,2019-03-04,22977.33000000000000000000,2019-12-02,43285.97
60813178,2019-10-11,9700.00000000000000000000,2019-03-27,18749.70000000000000000000
60813528,2019-05-29,14750.10000000000000000000,2019-07-22,15812.67
60814198,2019-02-25,3090.13000000000000000000,2019-07-25,13691.630000000001
60814798,2019-02-25,19698.54000000000000000000,2019-05-09,123085.96000000000000000000
60814858,2019-09-19,3145.00000000000000000000,2019-08-09,9505.43
60815008,2019-10-21,43731.25000000000000000000,2019-03-29,360073.87000000000000000000
60815058,2019-03-08,26939.51000000000000000000,2019-06-13,35678.740000000005
60815078,2019-03-04,1560.93000000000000000000,2019-10-18,13728.02
60815158,2019-10-21,14057.09000000000000000000,2019-10-21,29157.09
60815208,2019-03-11,20000.00000000000000000000,2019-11-28,858330.15
60815668,2019-12-02,37278.27000000000000000000,2019-12-24,41311.270000000004
60815888,2019-03-01,8908.49000000000000000000,2019-04-01,6195.57000000000000000000
60816098,2019-05-29,7477.00000000000000000000,2019-06-14,7412.9400000000005
60816818,2019-06-04,36813.57000000000000000000,2019-07-02,44607.55
60816828,2019-02-25,11236.30000000000000000000,2019-05-03,0E-20
60817058,2019-06-05,16940.34000000000000000000,2019-08-02,17346.66
60817198,2019-09-30,30249.70000000000000000000,2019-07-18,38540.84
60817258,2019-04-15,5000.00000000000000000000,2019-03-13,0E-20
60817328,2019-03-21,11992.76000000000000000000,2019-03-04,4741.96000000000000000000
60817358,2019-09-23,10051.37000000000000000000,2019-12-23,22428.26
60817958,2019-05-14,524349.70000000000000000000,2019-07-18,698908.28
60817978,2019-05-21,4388.00000000000000000000,2019-05-15,0E-20
60818068,2019-03-01,11232.69000000000000000000,2019-03-26,9753.01000000000000000000
60818098,2019-04-15,6041.66000000000000000000,2019-08-21,6062.57
60818258,2019-07-02,27272.47000000000000000000,2019-12-18,25223.01
60818398,2019-05-16,35091.84000000000000000000,2019-05-17,25091.84000000000000000000
60818518,2019-04-11,29118.47000000000000000000,2019-04-12,23954.47000000000000000000
60818588,2019-02-22,10001.20000000000000000000,2019-08-21,8303.4
60818678,2019-09-05,16411.19000000000000000000,2019-09-13,16411.19
60818708,2019-02-12,11000.00000000000000000000,2019-03-08,2593.30000000000000000000
60818828,2019-09-16,15541.00000000000000000000,2019-02-12,7402.35000000000000000000
60818918,2019-11-12,10720.20000000000000000000,2019-08-21,26077.2
60819068,2019-04-16,10050.00000000000000000000,2019-08-05,9351.3
60819178,2019-09-30,10000.10000000000000000000,2019-12-23,25755.57
60819778,2019-10-02,10654.80000000000000000000,2019-04-10,12813.99000000000000000000
60820068,2019-06-21,28942.22000000000000000000,2019-08-06,32048.19
60820118,2019-06-17,42366.95124000000000000000,2019-07-19,51018.31
60820278,2019-02-19,5521.12000000000000000000,2019-02-14,13768.09000000000000000000
60820358,2019-09-30,10000.80000000000000000000,2019-12-23,20508.6
60820408,2019-03-06,20000.00000000000000000000,2019-05-27,9970.35000000000000000000
60820418,2019-03-07,20100.00000000000000000000,2019-06-11,20096.82
60820678,2019-03-01,16000.00000000000000000000,2019-11-01,20635.91
