account,tran_stocks_all,tran_stocks_ipo,ipo_rate
67066608,4,3,0.75
69830918,10,9,0.9
67060838,4,4,1.0
66072878,19,19,1.0
61806508,4,4,1.0
66091298,22,17,0.7727272727272727
66076798,20,20,1.0
67057288,3,3,1.0
69815268,30,30,1.0
67079278,3,3,1.0
67855728,40,40,1.0
67028588,5,5,1.0
69890928,27,27,1.0
66025228,18,18,1.0
63060898,10,10,1.0
67006518,3,3,1.0
69816458,28,28,1.0
61872958,7,5,0.7142857142857143
61824968,43,43,1.0
65027278,26,25,0.9615384615384616
60829528,31,31,1.0
60829308,34,33,0.9705882352941176
67055758,3,3,1.0
61812578,32,31,0.96875
61849388,46,43,0.9347826086956522
66066218,30,30,1.0
61825218,117,108,0.9230769230769231
61841558,77,0,0.0
61804898,20,20,1.0
66079528,20,20,1.0
66060788,26,26,1.0
63071178,15,12,0.8
63059158,24,24,1.0
67002098,9,9,1.0
60816818,40,40,1.0
62096038,27,27,1.0
61888218,30,29,0.9666666666666667
61890318,30,30,1.0
67021798,7,4,0.5714285714285714
60829568,46,46,1.0
66099058,24,24,1.0
66096168,23,22,0.9565217391304348
66052228,11,11,1.0
63065618,21,21,1.0
61860308,21,21,1.0
61860328,37,37,1.0
61866618,27,27,1.0
66079098,22,4,0.18181818181818182
60826708,5,5,1.0
62096088,29,29,1.0
69837908,27,26,0.9629629629629629
61804428,58,58,1.0
69847898,9,9,1.0
65022618,27,25,0.9259259259259259
67000188,18,17,0.9444444444444444
69825688,40,40,1.0
69873278,12,12,1.0
63070618,45,44,0.9777777777777777
65021578,15,15,1.0
61836018,146,146,1.0
61882298,116,116,1.0
61834128,66,65,0.9848484848484849
62097638,29,29,1.0
66097788,27,27,1.0
69863808,4,1,0.25
67065668,1,1,1.0
67052238,2,2,1.0
66098828,2,2,1.0
62099088,32,32,1.0
69825718,37,37,1.0
67001578,17,17,1.0
63070178,49,49,1.0
60814818,41,41,1.0
67002558,1,0,0.0
61840328,14,11,0.7857142857142857
69848758,6,6,1.0
60005058,65,44,0.676923076923077
61848978,69,67,0.9710144927536232
67002568,9,9,1.0
69812668,9,9,1.0
61867758,44,44,1.0
69885458,212,1,0.0047169811320754715
61867888,30,29,0.9666666666666667
61883898,42,42,1.0
67077638,0,0,
61844668,47,47,1.0
67015708,5,5,1.0
61804968,38,38,1.0
66071258,19,17,0.8947368421052632
60089218,53,53,1.0
61881688,10,10,1.0
88636695,14,4,0.2857142857142857
63018858,5,5,1.0
67082038,0,0,
67022218,0,0,
62079298,11,2,0.18181818181818182
62086878,4,4,1.0
66080978,8,8,1.0
61807328,13,13,1.0
69846068,74,71,0.9594594594594594
69874028,0,0,
60815058,84,29,0.34523809523809523
61856488,40,39,0.975
67096738,0,0,
69853488,10,8,0.8
67027858,1,0,0.0
66091128,17,15,0.8823529411764706
67029938,4,4,1.0
61859578,48,47,0.9791666666666666
62077008,26,24,0.9230769230769231
67002108,6,6,1.0
61874688,35,35,1.0
66025578,12,12,1.0
61834098,40,17,0.425
63055038,23,21,0.9130434782608695
67001688,14,14,1.0
67085818,1,0,0.0
63076868,45,42,0.9333333333333333
69896758,50,49,0.98
61848688,55,55,1.0
63018598,25,24,0.96
69871928,24,24,1.0
61804758,53,53,1.0
62086988,6,4,0.6666666666666666
61803298,75,73,0.9733333333333334
67075708,0,0,
62099168,1,0,0.0
61805888,89,88,0.9887640449438202
67005098,10,10,1.0
63019588,31,31,1.0
65007908,16,16,1.0
60007038,53,51,0.9622641509433962
60827108,21,21,1.0
66072728,9,9,1.0
67011298,10,9,0.9
66095528,24,23,0.9583333333333334
67020108,12,12,1.0
63005268,73,41,0.5616438356164384
69811288,44,22,0.5
69871608,24,23,0.9583333333333334
66022938,5,5,1.0
67052598,7,7,1.0
62079258,51,41,0.803921568627451
67006788,0,0,
67060908,3,3,1.0
69842758,37,37,1.0
65026028,9,9,1.0
66097578,14,14,1.0
67018208,13,12,0.9230769230769231
61895878,51,51,1.0
66069018,7,7,1.0
61822428,46,46,1.0
60817258,39,38,0.9743589743589743
63099508,3,2,0.6666666666666666
66077568,13,12,0.9230769230769231
63027678,14,12,0.8571428571428571
65026018,7,7,1.0
67025288,2,1,0.5
63021688,15,14,0.9333333333333333
63001958,18,18,1.0
67009688,10,10,1.0
63027098,30,30,1.0
69873168,19,16,0.8421052631578947
63072668,26,26,1.0
60820698,70,69,0.9857142857142858
67056168,5,4,0.8
67089928,1,0,0.0
60829658,101,99,0.9801980198019802
69858358,19,19,1.0
69897588,40,40,1.0
63095698,32,32,1.0
65008228,31,31,1.0
66069598,7,7,1.0
67015858,4,4,1.0
60010088,2,2,1.0
63082588,6,6,1.0
62095928,65,56,0.8615384615384616
66051038,13,13,1.0
61850788,53,53,1.0
69840508,0,0,
60851968,28,28,1.0
67092628,0,0,
67050828,4,3,0.75
69851528,36,36,1.0
67098738,0,0,
61881778,33,33,1.0
61889178,41,41,1.0
66052168,31,31,1.0
67095618,2,1,0.5
69815118,12,12,1.0
67009908,7,6,0.8571428571428571
66028568,12,12,1.0
65000108,29,28,0.9655172413793104
69836578,39,38,0.9743589743589743
66087508,13,13,1.0
67090518,0,0,
68000588,0,0,
66082568,31,19,0.6129032258064516
67090918,0,0,
67068958,0,0,
67027908,11,6,0.5454545454545454
67006928,5,5,1.0
67095968,0,0,
66068938,3,2,0.6666666666666666
65060818,10,10,1.0
69874008,12,7,0.5833333333333334
60830098,6,6,1.0
65012038,15,0,0.0
66068778,6,0,0.0
66068688,22,22,1.0
67056688,1,0,0.0
67060578,2,2,1.0
67081868,0,0,
66091858,6,1,0.16666666666666666
67055598,2,2,1.0
62079598,11,11,1.0
67016668,4,4,1.0
67065038,1,1,1.0
62081808,3,2,0.6666666666666666
66077228,1,1,1.0
60800018,1,0,0.0
67005768,4,1,0.25
66076058,24,20,0.8333333333333334
67020598,7,7,1.0
66085188,2,2,1.0
62097978,26,26,1.0
69827968,38,38,1.0
62091558,40,40,1.0
67065758,0,0,
69869898,31,31,1.0
66022128,25,23,0.92
67021618,1,1,1.0
67021278,2,1,0.5
62067128,12,11,0.9166666666666666
62085508,13,13,1.0
60000198,34,34,1.0
67078278,0,0,
67007898,6,6,1.0
66020078,19,19,1.0
67020578,2,2,1.0
61860798,38,38,1.0
67012838,16,16,1.0
67058968,11,6,0.5454545454545454
66098778,6,6,1.0
61844898,13,3,0.23076923076923078
60809258,16,12,0.75
61826068,42,42,1.0
69862888,4,4,1.0
61849178,88,78,0.8863636363636364
62071868,71,64,0.9014084507042254
67068188,2,2,1.0
61897828,16,8,0.5
66881878,45,43,0.9555555555555556
67059128,3,3,1.0
60806758,64,59,0.921875
65019758,29,27,0.9310344827586207
72788881,10,0,0.0
67086168,0,0,
61812028,75,73,0.9733333333333334
65019568,35,26,0.7428571428571429
67065688,0,0,
67008278,5,5,1.0
66080788,9,9,1.0
67056568,3,3,1.0
66071218,15,11,0.7333333333333333
67008888,8,8,1.0
66097228,22,8,0.36363636363636365
62085588,43,43,1.0
60012988,36,27,0.75
66098958,16,16,1.0
66051668,31,31,1.0
69885418,67,64,0.9552238805970149
67059608,5,5,1.0
67058558,8,8,1.0
67027698,4,4,1.0
67002638,6,6,1.0
61825088,27,26,0.9629629629629629
61877968,27,27,1.0
61861878,48,45,0.9375
61851328,42,41,0.9761904761904762
63076688,2,1,0.5
69889408,20,19,0.95
63015138,8,0,0.0
61842828,59,59,1.0
66097018,26,26,1.0
69802588,40,36,0.9
67008068,10,10,1.0
63071738,17,13,0.7647058823529411
67058888,3,3,1.0
61807428,32,24,0.75
65015618,53,53,1.0
67079058,0,0,
61891208,51,51,1.0
61808168,25,17,0.68
66051658,35,35,1.0
66050778,36,36,1.0
67068638,0,0,
67029898,5,4,0.8
67058898,3,3,1.0
61825858,51,51,1.0
65059908,8,8,1.0
69844798,15,15,1.0
67058838,3,3,1.0
66095958,4,4,1.0
69879508,30,30,1.0
62090878,34,32,0.9411764705882353
61846088,22,22,1.0
63069278,14,14,1.0
67079678,2,0,0.0
66061608,5,3,0.6
60000988,5,1,0.2
60006568,16,16,1.0
69844108,9,9,1.0
60825288,4,4,1.0
60825298,3,3,1.0
68844788,5,5,1.0
65018578,12,12,1.0
65019868,16,12,0.75
62080128,11,7,0.6363636363636364
67070808,1,0,0.0
63065608,25,22,0.88
61826578,10,7,0.7
68680209,13,13,1.0
60800098,29,12,0.41379310344827586
66092728,0,0,
60827768,21,14,0.6666666666666666
66099658,45,0,0.0
60016768,2,2,1.0
61891298,49,49,1.0
60811318,48,48,1.0
67028178,2,2,1.0
67000778,1,1,1.0
61880668,37,37,1.0
60801688,11,11,1.0
67019898,3,2,0.6666666666666666
66075908,3,3,1.0
66089608,12,8,0.6666666666666666
63057288,4,4,1.0
67061628,0,0,
65020058,1,0,0.0
66098008,3,0,0.0
67010138,13,13,1.0
61826718,25,25,1.0
67012958,2,2,1.0
63050618,18,16,0.8888888888888888
60016678,32,32,1.0
67029878,3,3,1.0
66070078,6,6,1.0
61803418,13,13,1.0
62840178,22,22,1.0
65026728,11,11,1.0
63080908,55,40,0.7272727272727273
67009888,4,4,1.0
62095718,34,29,0.8529411764705882
67000058,4,4,1.0
66077698,2,1,0.5
61872558,70,70,1.0
61829368,43,40,0.9302325581395349
60813178,24,24,1.0
66077078,3,3,1.0
60800108,24,24,1.0
19860923,29,24,0.8275862068965517
67068738,2,2,1.0
67010808,1,0,0.0
66081758,23,3,0.13043478260869565
63071638,23,16,0.6956521739130435
