account_id,cash_in_first_day,asset_first_in
60805878,2019-02-27,20100.00000000000000000000
60805988,2019-11-27,25921.56000000000000000000
60806478,2019-02-18,136846.80211500000000000000
60806488,2019-09-23,4770.00000000000000000000
60806618,2019-09-19,10000.00000000000000000000
60806758,2019-06-03,11847.00000000000000000000
60807428,2019-06-19,17348.80000000000000000000
60807518,2019-12-16,11110.81876500000000000000
60807578,2019-06-03,15819.47000000000000000000
60807718,2019-03-04,20440.00000000000000000000
60807968,2019-05-08,6237.88675500000000000000
60808118,2019-04-12,11268.38000000000000000000
60809258,2019-12-19,0E-20
60809918,2019-07-25,15000.00000000000000000000
60810078,2019-07-31,21439.98000000000000000000
60811318,2019-06-21,33520.62000000000000000000
60811618,2019-03-01,6182.63000000000000000000
60812388,2019-03-19,9087.24000000000000000000
60812668,2019-06-17,17704.45000000000000000000
60812978,2019-03-04,22977.33000000000000000000
60813178,2019-10-11,9700.00000000000000000000
60813528,2019-05-29,14750.10000000000000000000
60814198,2019-02-25,3090.13000000000000000000
60814798,2019-02-25,19698.54000000000000000000
60814858,2019-09-19,3145.00000000000000000000
60815008,2019-10-21,43731.25000000000000000000
60815058,2019-03-08,26939.51000000000000000000
60815078,2019-03-04,1560.93000000000000000000
60815158,2019-10-21,14057.09000000000000000000
60815208,2019-03-11,20000.00000000000000000000
60815668,2019-12-02,37278.27000000000000000000
60815888,2019-03-01,8908.49000000000000000000
60816098,2019-05-29,7477.00000000000000000000
60816818,2019-06-04,36813.57000000000000000000
60816828,2019-02-25,11236.30000000000000000000
60817058,2019-06-05,16940.34000000000000000000
60817198,2019-09-30,30249.70000000000000000000
60817258,2019-04-15,5000.00000000000000000000
60817328,2019-03-21,11992.76000000000000000000
60817358,2019-09-23,10051.37000000000000000000
60817958,2019-05-14,524349.70000000000000000000
60817978,2019-05-21,4388.00000000000000000000
60818068,2019-03-01,11232.69000000000000000000
60818098,2019-04-15,6041.66000000000000000000
60818258,2019-07-02,27272.47000000000000000000
60818398,2019-05-16,35091.84000000000000000000
60818518,2019-04-11,29118.47000000000000000000
60818588,2019-02-22,10001.20000000000000000000
60818678,2019-09-05,16411.19000000000000000000
60818708,2019-02-12,11000.00000000000000000000
60818828,2019-09-16,15541.00000000000000000000
60818918,2019-11-12,10720.20000000000000000000
60819068,2019-04-16,10050.00000000000000000000
60819178,2019-09-30,10000.10000000000000000000
60819778,2019-10-02,10654.80000000000000000000
60820068,2019-06-21,28942.22000000000000000000
60820118,2019-06-17,42366.95124000000000000000
60820278,2019-02-19,5521.12000000000000000000
60820358,2019-09-30,10000.80000000000000000000
60820408,2019-03-06,20000.00000000000000000000
60820418,2019-03-07,20100.00000000000000000000
60820678,2019-03-01,16000.00000000000000000000
60820688,2019-11-08,30739.71000000000000000000
60820818,2019-05-09,14910.28000000000000000000
60821178,2019-05-20,3203.00000000000000000000
60821198,2019-06-17,15000.00000000000000000000
60821278,2019-03-01,3329.02355000000000000000
60821328,2019-05-20,3219.00000000000000000000
60821458,2019-05-29,22398.00417500000000000000
60821468,2019-05-20,23353.19000000000000000000
60821588,2019-05-30,19946.93000000000000000000
60821608,2019-09-16,18855.50000000000000000000
60821628,2019-03-27,10000.00000000000000000000
60822668,2019-04-12,9698.73000000000000000000
60822728,2019-02-28,3565.56000000000000000000
60822988,2019-05-21,23012.59015500000000000000
60823128,2019-06-28,63573.38000000000000000000
60823698,2019-06-20,14439.49000000000000000000
60824158,2019-02-21,2229.13000000000000000000
60824478,2019-04-15,5622.62000000000000000000
60824628,2019-10-02,10657.19000000000000000000
60824968,2019-05-14,15200.00000000000000000000
60824988,2019-04-16,10327.27000000000000000000
60825288,2019-11-12,10000.00000000000000000000
60825298,2019-11-12,10000.58000000000000000000
60825528,2019-05-20,2288.00000000000000000000
60825788,2019-03-14,10355.76000000000000000000
60826128,2019-07-16,14648.42815500000000000000
60826458,2019-03-12,20000.00000000000000000000
60826558,2019-08-29,42702.05589070138600000000
60826618,2019-07-08,14491.83028000000000000000
60826628,2019-12-16,27661.39000000000000000000
60826708,2019-10-17,6500.00000000000000000000
60826728,2019-10-03,28569.59000000000000000000
60826968,2019-05-09,15065.00000000000000000000
60827108,2019-07-04,13929.46000000000000000000
60827418,2019-10-23,14973.60000000000000000000
60827488,2019-02-25,14109.00000000000000000000
60827768,2019-02-14,1351.47000000000000000000
60827978,2019-03-18,2700.00000000000000000000
60828328,2019-07-02,26850.07000000000000000000
60828418,2019-09-17,8375.92000000000000000000
60828858,2019-09-30,10000.50000000000000000000
