,account,tran_stocks_all,tran_stocks_ipo,ipo_rate
407,63088788,18,17,0.9444444444444444
408,61806918,68,68,1.0
409,69886328,42,40,0.9523809523809523
410,61805198,66,66,1.0
411,66072258,32,32,1.0
412,61896268,31,31,1.0
413,66089288,13,13,1.0
414,61805268,76,76,1.0
415,63091678,15,15,1.0
416,61805358,60,60,1.0
417,61875968,26,26,1.0
418,66080208,4,4,1.0
419,67087998,0,0,
420,61857078,75,75,1.0
421,65056628,73,42,0.5753424657534246
422,65018138,11,11,1.0
423,61805808,62,62,1.0
424,69888788,28,28,1.0
425,66097558,32,20,0.625
426,61805378,56,56,1.0
427,67022298,13,13,1.0
428,65019268,30,30,1.0
429,66079188,18,18,1.0
430,67025058,7,7,1.0
431,61831868,53,42,0.7924528301886793
432,61891178,10,10,1.0
433,61805978,62,62,1.0
434,69820028,35,35,1.0
435,67025528,1,1,1.0
436,67809308,28,28,1.0
437,66020818,3,3,1.0
438,67019628,5,5,1.0
439,61867398,33,33,1.0
440,61806388,65,65,1.0
441,69853618,44,44,1.0
442,66068818,5,5,1.0
443,69869008,29,25,0.8620689655172413
444,67028908,1,1,1.0
445,62052178,55,55,1.0
446,69841578,56,56,1.0
447,62026088,45,45,1.0
448,67069178,2,2,1.0
449,61827208,39,39,1.0
450,61821318,24,23,0.9583333333333334
451,63008558,59,49,0.8305084745762712
452,69876458,47,37,0.7872340425531915
453,63021278,20,18,0.9
454,61828588,19,19,1.0
455,61850328,31,31,1.0
456,67092658,0,0,
457,61804998,71,71,1.0
458,65006158,18,18,1.0
459,69890808,15,15,1.0
460,67016298,7,4,0.5714285714285714
461,67001118,9,9,1.0
462,63071168,44,44,1.0
463,60820688,51,46,0.9019607843137255
464,66090558,12,12,1.0
465,62092688,18,18,1.0
466,66020238,21,21,1.0
467,61805528,56,55,0.9821428571428571
468,66020088,26,26,1.0
469,66079568,46,36,0.782608695652174
470,67057688,5,4,0.8
471,60008888,20,19,0.95
472,66079288,7,7,1.0
473,61858088,9,9,1.0
474,67011708,16,16,1.0
475,66085788,8,8,1.0
476,62096278,17,17,1.0
477,63007728,20,19,0.95
478,62080208,19,19,1.0
479,69849208,40,40,1.0
480,67075138,1,0,0.0
481,62088598,35,29,0.8285714285714286
482,61835118,200,0,0.0
484,60817358,7,6,0.8571428571428571
485,61887378,12,10,0.8333333333333334
486,62088238,42,40,0.9523809523809523
488,67855798,8,8,1.0
489,60820358,7,7,1.0
490,61801828,54,40,0.7407407407407407
491,66097708,5,5,1.0
492,61821098,32,32,1.0
493,61824308,64,64,1.0
494,65021198,21,21,1.0
495,60819178,6,6,1.0
496,67017528,5,5,1.0
497,67069918,1,1,1.0
499,65008678,9,7,0.7777777777777778
501,67021008,4,4,1.0
503,61880868,69,69,1.0
506,61824478,55,41,0.7454545454545455
508,61846058,31,28,0.9032258064516129
509,65022828,11,11,1.0
510,67000928,15,15,1.0
511,66010078,31,31,1.0
512,66052908,15,14,0.9333333333333333
513,62080928,29,29,1.0
514,67855718,30,27,0.9
515,63090118,35,34,0.9714285714285714
516,65011028,23,21,0.9130434782608695
517,62071698,4,4,1.0
518,61856828,76,76,1.0
519,62089668,39,38,0.9743589743589743
520,67001698,11,11,1.0
521,67067228,6,6,1.0
522,61820118,29,29,1.0
523,66082198,6,6,1.0
524,67050518,6,6,1.0
525,67018508,2,2,1.0
526,69848688,16,16,1.0
527,69818608,44,42,0.9545454545454546
528,61821728,76,76,1.0
529,61822358,63,63,1.0
530,61827558,66,66,1.0
531,61822308,37,37,1.0
532,67065288,1,1,1.0
533,66077238,4,4,1.0
534,61827758,71,69,0.971830985915493
535,67010758,12,11,0.9166666666666666
536,62080898,26,25,0.9615384615384616
537,67060228,4,3,0.75
538,69832828,25,25,1.0
539,63071138,51,51,1.0
540,67005578,16,16,1.0
541,60816828,50,11,0.22
542,63077188,61,37,0.6065573770491803
543,60829408,6,6,1.0
544,66066778,19,18,0.9473684210526315
545,66026608,28,28,1.0
546,60002868,10,10,1.0
547,66070668,14,13,0.9285714285714286
548,65052508,21,21,1.0
549,61815008,1,0,0.0
550,67027878,5,4,0.8
551,60828858,5,5,1.0
552,63091568,25,25,1.0
553,61831428,62,62,1.0
554,61806418,655,193,0.29465648854961835
555,60012728,47,47,1.0
556,67067008,0,0,
557,61843918,59,59,1.0
558,67065178,3,3,1.0
559,63060958,40,40,1.0
560,60807578,75,72,0.96
561,60827978,27,27,1.0
562,66097928,4,4,1.0
563,67050018,1,1,1.0
564,66078818,6,6,1.0
565,67066608,4,3,0.75
566,69830918,10,9,0.9
567,67060838,4,4,1.0
568,66072878,19,19,1.0
569,61806508,4,4,1.0
570,66091298,22,17,0.7727272727272727
571,66076798,20,20,1.0
572,67057288,3,3,1.0
573,69815268,30,30,1.0
574,67079278,3,3,1.0
575,67855728,40,40,1.0
576,67028588,5,5,1.0
577,69890928,27,27,1.0
578,66025228,18,18,1.0
579,63060898,10,10,1.0
580,67006518,3,3,1.0
581,69816458,28,28,1.0
582,61872958,7,5,0.7142857142857143
583,61824968,43,43,1.0
584,65027278,26,25,0.9615384615384616
585,60829528,31,31,1.0
586,60829308,34,33,0.9705882352941176
587,67055758,3,3,1.0
590,61812578,32,31,0.96875
591,61849388,46,43,0.9347826086956522
592,66066218,30,30,1.0
593,61825218,117,108,0.9230769230769231
594,61841558,77,0,0.0
595,61804898,20,20,1.0
596,66079528,20,20,1.0
597,66060788,26,26,1.0
598,63071178,15,12,0.8
599,63059158,24,24,1.0
600,67002098,9,9,1.0
601,60816818,40,40,1.0
602,62096038,27,27,1.0
603,61888218,30,29,0.9666666666666667
604,61890318,30,30,1.0
605,67021798,7,4,0.5714285714285714
606,60829568,46,46,1.0
607,66099058,24,24,1.0
608,66096168,23,22,0.9565217391304348
609,66052228,11,11,1.0
610,63065618,21,21,1.0
611,61860308,21,21,1.0
612,61860328,37,37,1.0
613,61866618,27,27,1.0
614,66079098,22,4,0.18181818181818182
615,60826708,5,5,1.0
616,62096088,29,29,1.0
617,69837908,27,26,0.9629629629629629
618,61804428,58,58,1.0
619,69847898,9,9,1.0
620,65022618,27,25,0.9259259259259259
621,67000188,18,17,0.9444444444444444
622,69825688,40,40,1.0
623,69873278,12,12,1.0
624,63070618,45,44,0.9777777777777777
625,65021578,15,15,1.0
626,61836018,146,146,1.0
627,61882298,116,116,1.0
628,61834128,66,65,0.9848484848484849
629,62097638,29,29,1.0
630,66097788,27,27,1.0
631,69863808,4,1,0.25
632,67065668,1,1,1.0
633,67052238,2,2,1.0
634,66098828,2,2,1.0
635,62099088,32,32,1.0
636,69825718,37,37,1.0
637,67001578,17,17,1.0
638,63070178,49,49,1.0
639,60814818,41,41,1.0
640,67002558,1,0,0.0
652,61840328,14,11,0.7857142857142857
654,69848758,6,6,1.0
655,60005058,65,44,0.676923076923077
656,61848978,69,67,0.9710144927536232
657,67002568,9,9,1.0
658,69812668,9,9,1.0
659,61867758,44,44,1.0
660,69885458,212,1,0.0047169811320754715
661,61867888,30,29,0.9666666666666667
662,61883898,42,42,1.0
663,67077638,0,0,
664,61844668,47,47,1.0
665,67015708,5,5,1.0
666,61804968,38,38,1.0
667,66071258,19,17,0.8947368421052632
668,60089218,53,53,1.0
669,61881688,10,10,1.0
701,88636695,14,4,0.2857142857142857
705,63018858,5,5,1.0
706,67082038,0,0,
708,67022218,0,0,
709,62079298,11,2,0.18181818181818182
712,62086878,4,4,1.0
717,66080978,8,8,1.0
720,61807328,13,13,1.0
725,69846068,74,71,0.9594594594594594
727,69874028,0,0,
728,60815058,84,29,0.34523809523809523
738,61856488,40,39,0.975
752,67096738,0,0,
756,69853488,10,8,0.8
767,67027858,1,0,0.0
774,66091128,17,15,0.8823529411764706
775,67029938,4,4,1.0
776,61859578,48,47,0.9791666666666666
777,62077008,26,24,0.9230769230769231
778,67002108,6,6,1.0
779,61874688,35,35,1.0
780,66025578,12,12,1.0
781,61834098,40,17,0.425
782,63055038,23,21,0.9130434782608695
783,67001688,14,14,1.0
784,67085818,1,0,0.0
785,63076868,45,42,0.9333333333333333
786,69896758,50,49,0.98
787,61848688,55,55,1.0
788,63018598,25,24,0.96
790,69871928,24,24,1.0
791,61804758,53,53,1.0
792,62086988,6,4,0.6666666666666666
793,61803298,75,73,0.9733333333333334
794,67075708,0,0,
795,62099168,1,0,0.0
796,61805888,89,88,0.9887640449438202
797,67005098,10,10,1.0
798,63019588,31,31,1.0
799,65007908,16,16,1.0
800,60007038,53,51,0.9622641509433962
801,60827108,21,21,1.0
802,66072728,9,9,1.0
803,67011298,10,9,0.9
804,66095528,24,23,0.9583333333333334
805,67020108,12,12,1.0
806,63005268,73,41,0.5616438356164384
807,69811288,44,22,0.5
808,69871608,24,23,0.9583333333333334
809,66022938,5,5,1.0
810,67052598,7,7,1.0
811,62079258,51,41,0.803921568627451
812,67006788,0,0,
813,67060908,3,3,1.0
814,69842758,37,37,1.0
815,65026028,9,9,1.0
816,66097578,14,14,1.0
817,67018208,13,12,0.9230769230769231
818,61895878,51,51,1.0
819,66069018,7,7,1.0
820,61822428,46,46,1.0
821,60817258,39,38,0.9743589743589743
822,63099508,3,2,0.6666666666666666
823,66077568,13,12,0.9230769230769231
824,63027678,14,12,0.8571428571428571
825,65026018,7,7,1.0
826,67025288,2,1,0.5
827,63021688,15,14,0.9333333333333333
828,63001958,18,18,1.0
829,67009688,10,10,1.0
830,63027098,30,30,1.0
831,69873168,19,16,0.8421052631578947
832,63072668,26,26,1.0
833,60820698,70,69,0.9857142857142858
834,67056168,5,4,0.8
835,67089928,1,0,0.0
836,60829658,101,99,0.9801980198019802
837,69858358,19,19,1.0
838,69897588,40,40,1.0
839,63095698,32,32,1.0
840,65008228,31,31,1.0
841,66069598,7,7,1.0
842,67015858,4,4,1.0
843,60010088,2,2,1.0
844,63082588,6,6,1.0
845,62095928,65,56,0.8615384615384616
846,66051038,13,13,1.0
847,61850788,53,53,1.0
848,69840508,0,0,
849,60851968,28,28,1.0
850,67092628,0,0,
851,67050828,4,3,0.75
852,69851528,36,36,1.0
853,67098738,0,0,
854,61881778,33,33,1.0
855,61889178,41,41,1.0
856,66052168,31,31,1.0
858,67095618,2,1,0.5
859,69815118,12,12,1.0
860,67009908,7,6,0.8571428571428571
861,66028568,12,12,1.0
862,65000108,29,28,0.9655172413793104
863,69836578,39,38,0.9743589743589743
864,66087508,13,13,1.0
865,67090518,0,0,
866,68000588,0,0,
867,66082568,31,19,0.6129032258064516
868,67090918,0,0,
869,67068958,0,0,
870,67027908,11,6,0.5454545454545454
871,67006928,5,5,1.0
