account_id,cash_in_first_day,asset_first_out
60007038,2019-10-22,12015.65000000000000000000
60007728,2019-07-30,20529.71000000000000000000
60008008,2019-12-24,4165.64108500000000000000
60008078,2019-09-16,21378.71000000000000000000
60008118,2019-06-17,35548.49000000000000000000
60008228,2019-05-27,8150.47000000000000000000
60008718,2019-10-04,16272.02000000000000000000
60008778,2019-09-18,8262.43000000000000000000
60008888,2019-09-23,8888.67000000000000000000
60008918,2019-04-08,17069.45000000000000000000
60009168,2019-07-08,42010.10000000000000000000
60010088,2019-12-20,20943.38000000000000000000
60010288,2019-09-30,42173.93000000000000000000
60010518,2019-11-26,20376.27000000000000000000
60010538,2019-08-19,27680.21000000000000000000
60010588,2019-12-18,30759.81000000000000000000
60010658,2019-12-20,16219.05000000000000000000
60010718,2019-11-26,4015.77997500000000000000
60012108,2019-11-25,31582.97818000000000000000
60012188,2019-07-12,0E-20
60012218,2019-09-20,49379.20000000000000000000
60012728,2019-03-18,12471.64000000000000000000
60012758,2019-09-17,0E-20
60012968,2019-08-30,12805.39000000000000000000
60012988,2019-12-19,88679.28052500000000000000
60015118,2019-12-17,7968.51000000000000000000
60015158,2019-03-18,4048.44482500000000000000
60016138,2019-07-10,77992.53000000000000000000
60016668,2019-11-22,21792.42000000000000000000
60016678,2019-11-08,20668.19000000000000000000
60016768,2019-08-13,19547.45000000000000000000
60016808,2019-12-17,19015.91000000000000000000
60016858,2019-11-28,32050.29000000000000000000
60017528,2019-03-15,15119.49000000000000000000
60018018,2019-10-04,16262.24000000000000000000
60018028,2019-05-09,13805.43000000000000000000
60018138,2019-12-23,18928.56000000000000000000
60018568,2019-10-23,2266.08000000000000000000
60018638,2019-09-24,2320.00000000000000000000
60018678,2019-12-12,23225.00000000000000000000
60018798,2019-02-01,42532.31000000000000000000
60018908,2019-12-16,14703.89000000000000000000
60026008,2019-04-08,0E-20
60080788,2019-08-07,0E-20
60085268,2019-03-27,21955.85000000000000000000
60087508,2019-11-15,0E-20
60089218,2019-12-04,14225.32000000000000000000
60089968,2019-04-09,16079.11000000000000000000
60800018,2019-08-06,0E-20
60800058,2019-12-13,0E-20
60800098,2019-11-25,41141.01000000000000000000
60800108,2019-08-08,25255.76000000000000000000
60800628,2019-06-10,0E-20
60800918,2019-08-05,628.00000000000000000000
60800958,2019-06-19,27212.84000000000000000000
