account,is_real_out
66071528,True
69828478,True
67022868,True
67025158,True
66097668,True
69889258,True
69889908,True
66097908,False
67017008,True
60815158,True
61848478,True
62089968,True
61833578,True
67076688,True
66026808,True
61803588,True
65088918,True
67012008,False
65018998,True
60829258,False
63068228,False
67015528,True
62887428,False
66097188,True
63000158,False
68841408,True
67068518,True
63012908,False
60821468,False
67007008,True
60809918,True
67069768,True
61824318,False
65018668,False
67021858,True
66082558,True
66092518,True
63086778,False
65022668,True
66029088,False
66085198,False
67010198,True
61804288,True
61879488,True
61843298,True
67009518,True
63088788,True
61806918,True
69886328,True
61805198,True
66072258,True
61896268,False
66089288,True
61805268,True
63091678,False
61805358,True
61875968,True
66080208,True
61857078,True
65018138,True
61805808,True
69888788,True
61805378,True
67022298,False
65019268,True
66079188,True
67025058,True
61831868,False
61891178,False
61805978,True
69820028,False
67025528,True
67809308,False
66020818,True
67019628,True
61867398,False
61806388,True
69853618,False
66068818,False
69869008,False
67028908,False
62052178,False
69841578,False
62026088,True
67069178,True
61827208,True
61821318,True
63008558,False
69876458,False
63021278,True
61828588,True
61850328,False
61804998,True
65006158,True
69890808,False
67001118,False
63071168,True
60820688,False
66090558,False
62092688,False
66020238,True
61805528,True
66020088,True
66079568,True
67057688,True
60008888,False
66079288,False
61858088,True
67011708,True
66085788,False
62096278,False
63007728,True
62080208,False
69849208,False
62088598,True
60817358,True
61887378,True
62088238,False
67855798,True
60820358,True
66097708,False
61821098,False
61824308,True
65021198,False
60819178,True
67017528,True
67069918,True
65008678,True
67021008,True
61880868,True
61846058,True
65022828,True
67000928,True
66010078,True
66052908,False
62080928,True
67855718,True
63090118,True
65011028,True
62071698,True
61856828,True
62089668,True
67001698,True
67067228,True
61820118,False
66082198,True
67050518,True
67018508,True
69848688,False
69818608,False
61821728,True
61822358,False
61827558,True
61822308,False
67065288,True
66077238,True
61827758,True
67010758,True
62080898,False
69832828,False
63071138,True
67005578,True
60829408,True
66066778,False
66026608,False
60002868,False
66070668,False
65052508,False
67027878,True
60828858,True
63091568,True
61831428,False
60012728,True
61843918,False
67065178,True
63060958,True
60807578,False
60827978,False
66097928,True
67050018,True
66078818,False
69830918,False
67060838,False
66072878,True
61806508,True
66091298,False
66076798,True
67057288,True
69815268,False
67079278,False
67855728,False
67028588,True
69890928,False
66025228,False
63060898,False
67006518,True
69816458,False
61824968,False
65027278,True
60829528,False
60829308,False
67055758,False
61812578,True
61849388,True
66066218,True
61825218,False
61804898,True
66079528,True
66060788,False
63071178,False
63059158,True
67002098,False
60816818,False
62096038,False
61888218,False
61890318,False
60829568,False
